ts,venue,coin,mid
1781338500.0,hyperliquid,BTC,63784.0
1781339400.0,hyperliquid,BTC,63861.0
1781340300.0,hyperliquid,BTC,63786.0
1781341200.0,hyperliquid,BTC,63775.0
1781342100.0,hyperliquid,BTC,63796.0
1781343000.0,hyperliquid,BTC,63785.0
1781343900.0,hyperliquid,BTC,63713.0
1781344800.0,hyperliquid,BTC,63756.0
1781345700.0,hyperliquid,BTC,63744.0
1781346600.0,hyperliquid,BTC,63837.0
1781347500.0,hyperliquid,BTC,63811.0
1781348400.0,hyperliquid,BTC,63901.0
1781349300.0,hyperliquid,BTC,63936.0
1781350200.0,hyperliquid,BTC,63880.0
1781351100.0,hyperliquid,BTC,63945.0
1781352000.0,hyperliquid,BTC,63916.0
1781352900.0,hyperliquid,BTC,63935.0
1781353800.0,hyperliquid,BTC,63991.0
1781354700.0,hyperliquid,BTC,64115.0
1781355600.0,hyperliquid,BTC,64156.0
1781356500.0,hyperliquid,BTC,64213.0
1781357400.0,hyperliquid,BTC,64134.0
1781358300.0,hyperliquid,BTC,64084.0
1781359200.0,hyperliquid,BTC,64137.0
1781360100.0,hyperliquid,BTC,64119.0
1781361000.0,hyperliquid,BTC,64161.0
1781361900.0,hyperliquid,BTC,64207.0
1781362800.0,hyperliquid,BTC,64266.0
1781363700.0,hyperliquid,BTC,64273.0
1781364600.0,hyperliquid,BTC,64223.0
1781365500.0,hyperliquid,BTC,64288.0
1781366400.0,hyperliquid,BTC,64058.0
1781367300.0,hyperliquid,BTC,63958.0
1781368200.0,hyperliquid,BTC,64031.0
1781369100.0,hyperliquid,BTC,64010.0
1781370000.0,hyperliquid,BTC,63941.0
1781370900.0,hyperliquid,BTC,64070.0
1781371800.0,hyperliquid,BTC,64083.0
1781372700.0,hyperliquid,BTC,63957.0
1781373600.0,hyperliquid,BTC,64053.0
1781374500.0,hyperliquid,BTC,64170.0
1781375400.0,hyperliquid,BTC,64243.0
1781376300.0,hyperliquid,BTC,64130.0
1781377200.0,hyperliquid,BTC,64173.0
1781378100.0,hyperliquid,BTC,64163.0
1781379000.0,hyperliquid,BTC,64271.0
1781379900.0,hyperliquid,BTC,64271.0
1781380800.0,hyperliquid,BTC,64254.0
1781381700.0,hyperliquid,BTC,64221.0
1781382600.0,hyperliquid,BTC,64224.0
1781383500.0,hyperliquid,BTC,64263.0
1781384400.0,hyperliquid,BTC,64219.0
1781385300.0,hyperliquid,BTC,64226.0
1781386200.0,hyperliquid,BTC,64544.0
1781387100.0,hyperliquid,BTC,64450.0
1781388000.0,hyperliquid,BTC,64390.0
1781388900.0,hyperliquid,BTC,64502.0
1781389800.0,hyperliquid,BTC,64490.0
1781390700.0,hyperliquid,BTC,64431.0
1781391600.0,hyperliquid,BTC,64422.0
1781392500.0,hyperliquid,BTC,64432.0
1781393400.0,hyperliquid,BTC,64440.0
1781394300.0,hyperliquid,BTC,64427.0
1781395200.0,hyperliquid,BTC,64402.0
1781396100.0,hyperliquid,BTC,64443.0
1781397000.0,hyperliquid,BTC,64551.0
1781397900.0,hyperliquid,BTC,64544.0
1781398800.0,hyperliquid,BTC,64622.0
1781399700.0,hyperliquid,BTC,64635.0
1781400600.0,hyperliquid,BTC,64542.0
1781401500.0,hyperliquid,BTC,64555.0
1781402400.0,hyperliquid,BTC,64604.0
1781403300.0,hyperliquid,BTC,64515.0
1781404200.0,hyperliquid,BTC,64484.0
1781405100.0,hyperliquid,BTC,64471.0
1781406000.0,hyperliquid,BTC,64474.0
1781406900.0,hyperliquid,BTC,64515.0
1781407800.0,hyperliquid,BTC,64461.0
1781408700.0,hyperliquid,BTC,64525.0
1781409600.0,hyperliquid,BTC,64481.0
1781410500.0,hyperliquid,BTC,64441.0
1781411400.0,hyperliquid,BTC,64355.0
1781412300.0,hyperliquid,BTC,64313.0
1781413200.0,hyperliquid,BTC,64339.0
1781414100.0,hyperliquid,BTC,64280.0
1781415000.0,hyperliquid,BTC,64343.0
1781415900.0,hyperliquid,BTC,64320.0
1781416800.0,hyperliquid,BTC,64448.0
1781417700.0,hyperliquid,BTC,64367.0
1781418600.0,hyperliquid,BTC,64231.0
1781419500.0,hyperliquid,BTC,64261.0
1781420400.0,hyperliquid,BTC,64207.0
1781421300.0,hyperliquid,BTC,64340.0
1781422200.0,hyperliquid,BTC,64282.0
1781423100.0,hyperliquid,BTC,64408.0
1781424000.0,hyperliquid,BTC,64433.0
1781424900.0,hyperliquid,BTC,64457.0
1781425800.0,hyperliquid,BTC,64452.0
1781426700.0,hyperliquid,BTC,64438.0
1781427600.0,hyperliquid,BTC,64405.0
1781428500.0,hyperliquid,BTC,64330.0
1781429400.0,hyperliquid,BTC,64529.0
1781430300.0,hyperliquid,BTC,64600.0
1781431200.0,hyperliquid,BTC,64504.0
1781432100.0,hyperliquid,BTC,64570.0
1781433000.0,hyperliquid,BTC,64590.0
1781433900.0,hyperliquid,BTC,64494.0
1781434800.0,hyperliquid,BTC,64546.0
1781435700.0,hyperliquid,BTC,64557.0
1781436600.0,hyperliquid,BTC,64585.0
1781437500.0,hyperliquid,BTC,64518.0
1781438400.0,hyperliquid,BTC,64464.0
1781439300.0,hyperliquid,BTC,64446.0
1781440200.0,hyperliquid,BTC,64334.0
1781441100.0,hyperliquid,BTC,64300.0
1781442000.0,hyperliquid,BTC,64336.0
1781442900.0,hyperliquid,BTC,64253.0
1781443800.0,hyperliquid,BTC,64340.0
1781444700.0,hyperliquid,BTC,64281.0
1781445600.0,hyperliquid,BTC,64280.0
1781446500.0,hyperliquid,BTC,64142.0
1781447400.0,hyperliquid,BTC,63911.0
1781448300.0,hyperliquid,BTC,63966.0
1781449200.0,hyperliquid,BTC,64085.0
1781450100.0,hyperliquid,BTC,64031.0
1781451000.0,hyperliquid,BTC,64016.0
1781451900.0,hyperliquid,BTC,63996.0
1781452800.0,hyperliquid,BTC,64085.0
1781453700.0,hyperliquid,BTC,64107.0
1781454600.0,hyperliquid,BTC,64133.0
1781455500.0,hyperliquid,BTC,63900.0
1781456400.0,hyperliquid,BTC,63934.0
1781457300.0,hyperliquid,BTC,63879.0
1781458200.0,hyperliquid,BTC,63812.0
1781459100.0,hyperliquid,BTC,63702.0
1781460000.0,hyperliquid,BTC,63705.0
1781460900.0,hyperliquid,BTC,63696.0
1781461800.0,hyperliquid,BTC,63757.0
1781462700.0,hyperliquid,BTC,63800.0
1781463600.0,hyperliquid,BTC,63769.0
1781464500.0,hyperliquid,BTC,63780.0
1781465400.0,hyperliquid,BTC,63741.0
1781466300.0,hyperliquid,BTC,63786.0
1781467200.0,hyperliquid,BTC,63795.0
1781468100.0,hyperliquid,BTC,63904.0
1781469000.0,hyperliquid,BTC,64028.0
